user_id,eobt,eldt,departure_airport,arrival_airport,route,,,,,,
,2020-12-12 17:00,2020-12-12 17:48,EDDS,LIMC,ROTWE Y126 TUBLO N850 DEGAD Z424 RIXUV,,,,,,
,2020-12-12 17:00,2020-12-12 18:09,EDDS,LOWW,ABTAL L173 RIXED Y161 RIDAR UZ98 MIQ UL605 BIBAG Q104 AKIMA DCT MASUR,,,,,,
,2020-12-12 17:00,2020-12-12 17:48,EDDS,LIMC,ROTWE Y126 TUBLO N850 DEGAD Z424 RIXUV,,,,,,
,2020-12-12 17:05,2020-12-12 18:39,EDDS,EGLL,VESID Y127 TUDGA Z114 ADENU L608 LIRSU DCT SOGRI DCT HELEN L179 SASKI L608 LOGAN,,,,,,
,2020-12-12 17:07,2020-12-12 18:49,EDDS,LTFJ,,,,,,,
,2020-12-12 17:10,2020-12-12 18:13,EDDS,EDDT,OKIBA N851 RIMKI Z99 LOHRE N746 TIKNI T279 TAMEB T278 RUDAK,,,,,,
,2020-12-12 17:16,2020-12-12 17:59,EDDS,EDDF,ETASA T163 SPESA,,,,,,
,2020-12-12 17:20,2020-12-12 18:36,EDDS,EDDG,TAGIK Z3 ABUMO N850 GISEM Z505 ARPEG Z850 HMM,,,,,,
,2020-12-12 17:25,2020-12-12 17:52,EDDS,EHAM,TAGIK Z3 ABUMO N850 GISEM Z505 ARPEG Z850 HMM T281 NORKU,,,,,,
,2020-12-12 17:27,2020-12-12 18:43,EDDS,LHBP,,,,,,,
,2020-12-12 17:29,2020-12-12 18:28,EDDS,LIMC,ROTWE Y126 TUBLO N850 DEGAD Z424 RIXUV,,,,,,
,2020-12-12 17:30,2020-12-12 18:23,EDDS,EDDV,TAGIK Z3 ABUMO N850 WRB,,,,,,
,2020-12-12 17:30,2020-12-12 19:45,EDDS,LEMD,,,,,,,
,2020-12-12 17:35,2020-12-12 18:15,EDDS,LEPA,ROTWE Y126 TUBLO N850 NATOR N869 OLBEN UN869 NEMOS DCT GVA DCT BALSI UN852 VERSO UL129 LUNIK,,,,,,
,2020-12-12 17:37,2020-12-12 02:27,EDDS,EDDS,,,,,,,
,2020-12-12 17:39,2020-12-12 18:28,EDDS,EDVE,,,,,,,
,2020-12-12 17:45,2020-12-12 18:49,EDDS,LDPL,,,,,,,
,2020-12-12 17:45,2020-12-12 18:52,EDDS,LFPG,ROTWE Y126 LUPEN UM164 TRO UJ310 URELO Z303 OKIPA,,,,,,
,2020-12-12 17:45,2020-12-12 18:55,EDDS,EDDT,OKIBA N851 RIMKI Z99 LOHRE N746 TIKNI T279 TAMEB T278 RUDAK,,,,,,
,2020-12-12 17:50,2020-12-12 19:03,EDDS,LFLL,,,,,,,
,2020-12-12 17:55,2020-12-12 19:02,EDDS,EBBR,VESID Y127 TUDGA Z738 NOKDI Z104 GESLO N852 LNO,,,,,,
,2020-12-12 17:55,2020-12-12 19:01,EDDS,LOWW,ABTAL L173 RIXED Y161 RIDAR UZ98 MIQ UL605 BIBAG Q104 AKIMA DCT MASUR,,,,,,
,2020-12-12 17:55,2020-12-12 19:33,EDDS,EPWA,OKIBA N851 RIMKI Z99 LOHRE N746 ESOBU N858 SUBIX L980 ADVAB P150 BIMPA,,,,,,
,2020-12-12 18:00,2020-12-12 20:25,EDDS,LTFM,,,,,,,
,2020-12-12 18:00,2020-12-12 19:12,EDDS,EDDH,OKIBA N851 RIMKI DCT LOHRE UN851 KEMAD P605 NOLGO,,,,,,
,2020-12-12 18:07,2020-12-12 18:51,EDDS,LTFJ,,,,,,,
,2020-12-12 18:10,2020-12-12 19:22,EDDS,LFMN,,,,,,,
,2020-12-12 18:15,2020-12-12 18:46,EDDS,EDDF,ETASA T163 SPESA,,,,,,
,2020-12-12 18:20,2020-12-12 21:08,EDDS,LTAI,,,,,,,
,2020-12-12 18:25,2020-12-12 19:31,EDDS,LOWG,ABTAL L173 RIXED Y161 MAH L173 EBEDA UL603 LATLO DCT OBEDI DCT ABIRI,,,,,,
,2020-12-12 18:30,2020-12-12 17:38,EDDS,EDDH,OKIBA N851 RIMKI DCT LOHRE UN851 KEMAD P605 NOLGO,,,,,,
,2020-12-12 18:40,2020-12-12 18:04,EDDS,EKCH,,,,,,,
,2020-12-12 18:45,2020-12-12 17:41,EDDS,EDDC,,,,,,,
,2020-12-12 18:52,2020-12-12 20:00,EDDS,EDDH,OKIBA N851 RIMKI DCT LOHRE UN851 KEMAD P605 NOLGO,,,,,,
,2020-12-12 18:55,2020-12-12 20:14,EDDS,EDDT,OKIBA N851 RIMKI Z99 LOHRE N746 TIKNI T279 TAMEB T278 RUDAK,,,,,,
,2020-12-12 19:00,2020-12-12 17:19,EDDS,EDDH,OKIBA N851 RIMKI DCT LOHRE UN851 KEMAD P605 NOLGO,,,,,,
,2020-12-12 19:01,2020-12-12 16:11,EDDS,ETOU,,,,,,,
,2020-12-12 19:07,2020-12-12 22:05,EDDS,LTAN,,,,,,,
,2020-12-12 19:10,2020-12-12 20:23,EDDS,EDDT,OKIBA N851 RIMKI Z99 LOHRE N746 TIKNI T279 TAMEB T278 RUDAK,,,,,,
,2020-12-12 19:13,2020-12-12 19:48,EDDS,EDDM,ABTAL L173 RIXED,,,,,,
,2020-12-12 19:15,2020-12-12 20:58,EDDS,EGKK,VESID Y127 TUDGA Z114 ADENU L608 LIRSU DCT DENUT L610 TEBRA,,,,,,
,2020-12-12 19:20,2020-12-12 17:30,EDDS,EDDL,TAGIK Z3 ABUMO N850 GISEM Z505 ARPEG Z850 ADEMI T854 DOMUX,,,,,,
,2020-12-12 19:25,2020-12-12 20:27,EDDS,LOWW,ABTAL L173 RIXED Y161 RIDAR UZ98 MIQ UL605 BIBAG Q104 AKIMA DCT MASUR,,,,,,
,2020-12-12 19:30,2020-12-12 22:24,EDDS,LTAI,,,,,,,
,2020-12-12 19:43,2020-12-12 21:39,EDDS,EGBB,,,,,,,
,2020-12-12 20:00,2020-12-12 20:41,EDDS,EDDK,,,,,,,
,2020-12-12 20:10,2020-12-12 21:04,EDDS,EDDP,,,,,,,
,2020-12-12 20:10,2020-12-12 23:29,EDDS,LTCG,,,,,,,
,2020-12-12 20:20,2020-12-12 23:21,EDDS,UUEE,,,,,,,
,2020-12-12 20:30,2020-12-12 17:47,EDDS,EDDT,OKIBA N851 RIMKI Z99 LOHRE N746 TIKNI T279 TAMEB T278 RUDAK,,,,,,
,2020-12-12 20:37,2020-12-12 22:03,EDDS,LFPG,ROTWE Y126 LUPEN UM164 TRO UJ310 URELO Z303 OKIPA,,,,,,
,2020-12-12 20:40,2020-12-12 21:35,EDDS,EDDV,TAGIK Z3 ABUMO N850 WRB,,,,,,
,2020-12-12 20:45,2020-12-12 17:49,EDDS,EDDW,OKIBA N851 RIMKI Z99 LOHRE UN851 KEMAD P605 DLE Z88 VERED,,,,,,
,2020-12-12 20:55,2020-12-12 17:58,EDDS,EDDT,OKIBA N851 RIMKI Z99 LOHRE N746 TIKNI T279 TAMEB T278 RUDAK,,,,,,